name,area,professional_roles,salary,alternate_url
Junior Front-end Developer,{'name': 'Санкт-Петербург'},"[{'name': 'Программист, разработчик'}]","{'from_': 60000, 'to': None, 'currency': 'RUR'}",https://hh.ru/vacancy/93969661
Программист-разработчик в IT-компанию (Удаленно),{'name': 'Ташкент'},"[{'name': 'Программист, разработчик'}]","{'from_': 1000, 'to': None, 'currency': 'USD'}",https://hh.ru/vacancy/93804253
